LOCALITA,DATA,TMEDIA Â°C,TMIN Â°C,TMAX Â°C,PUNTORUGIADA Â°C,UMIDITA %,VISIBILITA km,VENTOMEDIA km/h,VENTOMAX km/h,RAFFICA km/h,PRESSIONESLM mb,PRESSIONEMEDIA mb,PIOGGIA mm,FENOMENI,Pioggia,Nebbia
Torino,2/3/2016,9,7,14,7,64,7,12,44,72,1016,0,0,,0,0
Torino,2/4/2016,7,0,13,0,29,31,8,17,0,1023,0,0,,0,0
Torino,2/5/2016,6,-1,13,0,47,22,8,15,0,1024,0,0,,0,0
Torino,2/6/2016,5,2,8,2,72,9,7,13,0,1028,0,0,pioggia ,1,0
Torino,2/7/2016,4,3,5,3,90,9,8,9,0,1014,0,0,pioggia ,1,0
Torino,2/8/2016,5,0,11,3,83,18,6,9,0,1015,0,0,,0,0
Torino,2/9/2016,5,1,7,4,88,6,6,13,0,1008,0,0,,0,0
Torino,2/10/2016,8,1,12,3,30,17,18,37,48,999,0,0,,0,0
Torino,2/11/2016,5,-2,11,0,40,20,7,15,0,1006,0,0,,0,0
Torino,2/12/2016,3,0,6,1,71,10,6,20,0,1004,0,0,pioggia neve ,1,0
Torino,2/13/2016,2,-3,8,2,78,8,6,13,0,996,0,0,,0,0
Torino,2/14/2016,4,0,6,2,85,5,4,9,0,995,0,0,pioggia nebbia ,1,1
Torino,2/15/2016,5,0,10,2,80,4,5,9,0,1004,0,0,nebbia ,0,1
Torino,2/16/2016,7,6,8,4,83,7,5,11,0,1021,0,0,pioggia ,1,0
Torino,2/17/2016,5,4,6,4,91,8,8,17,0,1019,0,0,pioggia ,1,0
Torino,2/18/2016,6,4,10,3,81,9,6,15,0,1016,0,0,pioggia ,1,0
Torino,2/19/2016,7,0,14,1,53,14,8,22,0,1016,0,0,,0,0
Torino,2/20/2016,6,-1,12,0,34,35,6,13,0,1024,0,0,,0,0
Torino,2/21/2016,8,0,16,4,56,26,6,11,0,1021,0,0,,0,0
Torino,2/22/2016,8,4,11,5,83,9,6,13,0,1018,0,0,pioggia ,1,0
Torino,2/23/2016,10,6,14,8,85,5,5,11,0,1011,0,0,pioggia nebbia ,1,1
Torino,2/24/2016,9,4,13,5,74,5,9,20,0,1013,0,0,nebbia ,0,1
Torino,2/25/2016,7,3,9,2,72,11,5,9,0,1011,0,0,,0,0
Torino,2/26/2016,5,-1,9,3,78,7,7,19,0,1009,0,0,pioggia ,1,0
Torino,2/27/2016,5,3,5,3,88,6,12,19,0,1008,0,0,pioggia ,1,0
Torino,2/28/2016,7,4,10,5,88,9,12,28,0,1006,0,0,pioggia ,1,0
Torino,2/29/2016,8,6,10,6,85,9,11,20,0,1004,0,0,pioggia ,1,0
Torino,3/1/2016,9,3,17,2,62,27,6,11,0,1011,0,0,nebbia ,0,1
Torino,3/2/2016,9,3,13,3,62,14,8,17,0,1007,0,0,pioggia ,1,0
Torino,3/3/2016,8,1,14,3,40,21,14,41,61,998,0,0,,0,0
Torino,3/4/2016,6,1,11,0,42,13,8,15,0,1004,0,0,,0,0
Torino,3/5/2016,3,0,7,2,86,6,8,19,0,998,0,0,pioggia neve ,1,0
Torino,3/6/2016,3,0,10,2,84,3,5,9,0,1000,0,0,nebbia ,0,1
Torino,3/7/2016,3,-4,10,1,64,9,6,13,0,1001,0,0,nebbia ,0,1
Torino,3/8/2016,5,-1,11,0,48,16,7,13,0,1007,0,0,,0,0
Torino,3/9/2016,4,-1,9,0,50,12,7,11,0,1010,0,0,,0,0
Torino,3/10/2016,8,2,14,0,48,12,7,13,0,1010,0,0,,0,0
Torino,3/11/2016,8,3,12,2,53,12,7,13,0,1016,0,0,,0,0
Torino,3/12/2016,11,6,16,3,59,10,6,11,0,1018,0,0,,0,0
Torino,3/13/2016,10,7,12,3,58,12,12,19,0,1020,0,0,pioggia ,1,0
Torino,3/14/2016,8,6,12,2,60,11,10,20,0,1023,0,0,pioggia ,1,0
Torino,3/15/2016,9,2,15,2,53,13,7,17,0,1016,0,0,pioggia ,1,0
Torino,3/16/2016,3,1,7,2,89,5,21,32,0,1021,0,0,pioggia neve ,1,0
Torino,3/17/2016,8,4,12,1,63,12,11,22,0,1026,0,0,pioggia ,1,0
Torino,3/18/2016,9,1,16,1,50,32,6,11,0,1018,0,0,,0,0
Torino,3/19/2016,11,4,18,1,44,38,7,13,0,1015,0,0,,0,0
Torino,3/20/2016,10,3,17,4,61,14,6,13,0,1015,0,0,,0,0
Torino,3/21/2016,11,5,17,4,63,13,5,11,0,1013,0,0,,0,0
Torino,3/22/2016,11,6,16,5,64,10,7,17,0,1006,0,0,,0,0
Torino,3/23/2016,11,8,15,3,55,11,9,17,0,1000,0,0,pioggia ,1,0
Torino,3/24/2016,11,4,18,1,49,16,7,13,0,1008,0,0,,0,0
Torino,3/25/2016,10,7,14,3,53,15,7,11,0,1015,0,0,,0,0
Torino,3/26/2016,12,3,19,2,48,11,7,15,0,1017,0,0,,0,0
Torino,3/27/2016,11,5,15,5,60,11,8,13,0,1015,0,0,pioggia ,1,0
Torino,3/28/2016,11,7,14,7,76,9,6,13,0,1013,0,0,,0,0
Torino,3/29/2016,12,6,19,7,73,8,6,13,0,1014,0,0,,0,0
Torino,3/30/2016,13,10,17,9,75,11,8,15,0,1017,0,0,,0,0
Torino,3/31/2016,12,11,15,10,85,9,8,17,0,1017,0,0,pioggia ,1,0
Torino,4/1/2016,12,10,13,10,87,7,7,15,0,1016,0,0,pioggia ,1,0
Torino,4/2/2016,13,10,18,10,83,8,6,13,0,1020,0,0,pioggia ,1,0
Torino,4/3/2016,14,12,16,9,74,9,7,17,0,1018,0,0,pioggia ,1,0
Torino,4/4/2016,,,,,,,,,,,,,,0,0
Torino,4/5/2016,13,11,15,11,87,5,8,15,0,1013,0,0,pioggia ,1,0
Torino,4/6/2016,15,8,22,9,69,10,5,17,0,1011,0,0,nebbia ,0,1
Torino,4/7/2016,16,11,21,10,68,11,8,17,0,1007,0,0,pioggia temporale ,1,0
Torino,4/8/2016,13,10,17,8,73,10,11,28,0,1002,0,0,pioggia temporale ,1,0
Torino,4/9/2016,13,10,18,8,75,12,5,13,0,1002,0,0,pioggia temporale ,1,0
Torino,4/10/2016,14,7,20,7,67,16,5,13,0,1008,0,0,,0,0
Torino,4/11/2016,14,8,19,8,71,13,7,15,0,1012,0,0,,0,0
Torino,4/12/2016,14,8,20,7,65,15,6,13,0,1013,0,0,,0,0
Torino,4/13/2016,14,9,19,9,73,13,8,22,0,1009,0,0,pioggia temporale ,1,0
Torino,4/14/2016,15,7,22,6,59,20,6,11,0,1009,0,0,,0,0
Torino,4/15/2016,14,7,18,8,65,13,8,15,0,1012,0,0,,0,0
Torino,4/16/2016,14,11,18,10,77,12,9,15,0,1011,0,0,pioggia ,1,0
Torino,4/17/2016,15,12,19,11,77,12,7,11,0,1009,0,0,pioggia ,1,0
Torino,4/18/2016,14,9,21,7,61,16,11,28,46,1012,0,0,pioggia ,1,0
Torino,4/19/2016,15,6,22,2,43,22,8,26,0,1018,0,0,pioggia ,1,0
Torino,4/20/2016,15,10,20,7,57,17,7,13,0,1023,0,0,,0,0
Torino,4/21/2016,16,13,19,7,56,14,7,13,0,1024,0,0,,0,0
Torino,4/22/2016,17,11,22,8,58,11,6,17,0,1016,0,0,,0,0
Torino,4/23/2016,15,12,18,10,73,12,6,9,0,1006,0,0,pioggia ,1,0
Torino,4/24/2016,15,9,20,6,50,17,11,22,41,1001,0,0,,0,0
Torino,4/25/2016,11,3,17,0,34,39,9,20,0,1008,0,0,,0,0
Torino,4/26/2016,11,4,16,4,54,16,8,11,0,1005,0,0,,0,0
Torino,4/27/2016,12,6,18,5,49,11,9,20,0,1005,0,0,,0,0
Torino,4/28/2016,11,6,15,3,48,12,8,17,0,1013,0,0,,0,0
Torino,4/29/2016,12,6,15,5,65,11,7,15,0,1018,0,0,,0,0
Torino,4/30/2016,11,9,16,7,73,11,10,26,0,1016,0,0,pioggia temporale ,1,0
Torino,5/1/2016,9,6,11,6,83,9,12,24,0,1013,0,0,pioggia ,1,0
Torino,5/2/2016,13,5,20,7,66,12,8,19,0,1013,0,0,,0,0
Torino,5/3/2016,16,8,23,6,47,18,9,24,43,1014,0,0,,0,0
Torino,5/4/2016,16,7,22,3,36,33,8,17,0,1018,0,0,,0,0
Torino,5/5/2016,14,10,18,5,54,12,10,17,0,1021,0,0,,0,0
Torino,5/6/2016,15,7,21,5,52,13,6,11,0,1019,0,0,,0,0
Torino,5/7/2016,16,10,21,7,55,13,6,15,0,1014,0,0,pioggia ,1,0
Torino,5/8/2016,16,10,20,8,61,12,8,15,0,1014,0,0,pioggia ,1,0
Torino,5/9/2016,13,11,15,11,90,8,5,13,0,1019,0,0,pioggia ,1,0
Torino,5/10/2016,14,12,17,12,87,9,7,13,0,1016,0,0,pioggia ,1,0
Torino,5/11/2016,13,12,14,12,96,5,12,20,0,1007,0,0,pioggia ,1,0
Torino,5/12/2016,14,12,17,12,88,9,9,17,0,1000,0,0,pioggia ,1,0
Torino,5/13/2016,15,12,18,12,83,11,6,13,0,998,0,0,,0,0
Torino,5/14/2016,17,12,22,12,76,11,8,20,0,1003,0,0,pioggia temporale ,1,0
Torino,5/15/2016,16,10,22,9,61,14,7,15,0,1011,0,0,,0,0
Torino,5/16/2016,14,9,18,7,63,12,8,13,0,1017,0,0,,0,0
Torino,5/17/2016,16,11,21,7,58,13,7,11,0,1016,0,0,,0,0
Torino,5/18/2016,16,13,20,9,65,12,8,15,0,1014,0,0,pioggia ,1,0
Torino,5/19/2016,15,12,18,10,77,11,9,17,0,1009,0,0,pioggia ,1,0
Torino,5/20/2016,18,9,25,5,48,25,7,15,0,1016,0,0,,0,0
Torino,5/21/2016,19,10,25,9,51,31,7,11,0,1019,0,0,,0,0
Torino,5/22/2016,19,15,23,11,57,13,8,19,0,1016,0,0,,0,0
Torino,5/23/2016,14,10,18,7,61,10,12,44,0,1009,0,0,pioggia temporale ,1,0
Torino,5/24/2016,17,9,25,4,43,27,7,13,0,1009,0,0,,0,0
Torino,5/25/2016,17,10,24,9,57,26,6,11,0,1013,0,0,,0,0
Torino,5/26/2016,20,13,25,12,63,16,6,11,0,1015,0,0,,0,0
Torino,5/27/2016,22,16,26,14,61,12,6,11,0,1017,0,0,,0,0
Torino,5/28/2016,22,18,26,15,68,10,9,17,0,1014,0,0,pioggia temporale ,1,0
Torino,5/29/2016,17,15,19,14,82,10,10,22,0,1008,0,0,pioggia ,1,0
Torino,5/30/2016,17,13,21,13,80,12,7,26,0,1009,0,0,pioggia temporale ,1,0
Torino,5/31/2016,16,13,21,13,85,10,7,24,0,1012,0,0,pioggia temporale ,1,0
Torino,6/1/2016,17,14,22,13,75,12,7,17,0,1013,0,0,pioggia ,1,0
Torino,6/2/2016,17,15,19,14,85,10,5,26,0,1012,0,0,pioggia temporale ,1,0
Torino,6/3/2016,18,15,21,15,82,9,7,15,0,1011,0,0,pioggia ,1,0
Torino,6/4/2016,17,15,20,15,90,9,9,17,0,1013,0,0,pioggia temporale ,1,0
Torino,6/5/2016,19,12,24,13,73,11,7,17,0,1015,0,0,pioggia ,1,0
Torino,6/6/2016,20,16,25,15,72,12,7,15,0,1018,0,0,temporale ,0,0
Torino,6/7/2016,22,18,26,15,66,12,6,15,0,1020,0,0,,0,0
Torino,6/8/2016,21,16,27,16,73,11,6,19,0,1017,0,0,pioggia temporale ,1,0
Torino,6/9/2016,19,15,24,15,80,10,9,20,0,1012,0,0,pioggia temporale ,1,0
Torino,6/10/2016,19,14,24,14,72,11,6,11,0,1012,0,0,,0,0
Torino,6/11/2016,20,18,24,16,77,10,8,15,0,1010,0,0,temporale ,0,0
Torino,6/12/2016,20,17,25,16,76,12,8,15,0,1009,0,0,temporale ,0,0
Torino,6/13/2016,20,15,25,15,70,11,7,15,0,1004,0,0,pioggia temporale ,1,0
Torino,6/14/2016,20,16,24,15,75,10,9,20,0,1001,0,0,pioggia temporale ,1,0
Torino,6/15/2016,19,15,24,15,78,11,8,19,0,1002,0,0,pioggia temporale ,1,0
Torino,6/16/2016,17,16,19,16,89,9,8,15,0,1003,0,0,pioggia ,1,0
Torino,6/17/2016,18,14,23,13,74,10,9,20,0,1009,0,0,pioggia temporale ,1,0
Torino,6/18/2016,17,13,22,12,74,12,10,22,0,1017,0,0,pioggia temporale ,1,0
Torino,6/19/2016,18,13,23,11,63,12,7,15,0,1017,0,0,,0,0
Torino,6/20/2016,21,13,27,10,50,24,7,13,0,1018,0,0,,0,0
Torino,6/21/2016,22,18,26,13,54,13,7,11,0,1022,0,0,,0,0
Torino,6/22/2016,24,17,29,16,59,20,6,11,0,1023,0,0,,0,0
Torino,6/23/2016,24,19,30,18,69,21,6,11,0,1022,0,0,,0,0
Torino,6/24/2016,27,20,32,19,63,23,6,13,0,1018,0,0,,0,0
Torino,6/25/2016,25,21,28,18,66,11,8,22,0,1013,0,0,pioggia temporale ,1,0
Torino,6/26/2016,23,18,29,17,66,12,8,17,0,1012,0,0,pioggia temporale ,1,0
Torino,6/27/2016,23,17,28,13,55,23,7,13,0,1015,0,0,,0,0
Torino,6/28/2016,23,18,27,15,60,13,8,13,0,1018,0,0,,0,0
Torino,6/29/2016,24,19,28,17,63,11,9,57,0,1016,0,0,pioggia temporale ,1,0
Torino,6/30/2016,23,18,27,18,73,12,8,19,0,1016,0,0,pioggia temporale ,1,0
Torino,7/1/2016,24,18,29,17,66,13,6,13,0,1017,0,0,,0,0
Torino,7/2/2016,23,21,27,20,80,10,8,15,0,1015,0,0,pioggia temporale ,1,0
Torino,7/3/2016,24,17,29,16,64,17,6,9,0,1015,0,0,,0,0
Torino,7/4/2016,23,20,25,18,73,11,8,15,0,1019,0,0,,0,0
Torino,7/5/2016,24,18,28,18,70,12,7,15,0,1017,0,0,pioggia ,1,0
Torino,7/6/2016,25,17,30,15,56,23,7,15,0,1015,0,0,,0,0
Torino,7/7/2016,25,20,30,17,59,13,8,15,0,1017,0,0,,0,0
Torino,7/8/2016,25,22,29,19,69,10,7,15,0,1018,0,0,,0,0
Torino,7/9/2016,27,20,33,17,55,28,7,11,28,1017,0,0,,0,0
Torino,7/10/2016,27,21,31,19,61,11,7,13,0,1017,0,0,,0,0
Torino,7/11/2016,26,22,30,20,68,11,10,35,0,1015,0,0,pioggia temporale ,1,0
Torino,7/12/2016,23,20,26,20,81,13,6,13,0,1012,0,0,pioggia temporale ,1,0
Torino,7/13/2016,23,16,28,14,60,13,9,39,57,1009,0,0,pioggia temporale ,1,0
Torino,7/14/2016,19,11,26,7,49,18,11,33,0,1012,0,0,pioggia temporale ,1,0
Torino,7/15/2016,20,11,26,6,42,24,7,15,0,1018,0,0,,0,0
Torino,7/16/2016,21,12,28,6,40,41,8,17,0,1019,0,0,,0,0
Torino,7/17/2016,23,15,30,11,47,32,6,13,0,1020,0,0,,0,0
Torino,7/18/2016,25,17,31,15,53,46,6,9,0,1020,0,0,,0,0
Torino,7/19/2016,26,21,32,17,57,38,6,13,0,1019,0,0,,0,0
Torino,7/20/2016,27,21,33,19,60,18,7,15,0,1017,0,0,,0,0
Torino,7/21/2016,26,23,30,18,61,11,8,15,0,1016,0,0,pioggia ,1,0
Torino,7/22/2016,22,17,26,19,79,10,9,54,0,1016,0,0,pioggia temporale ,1,0
Torino,7/23/2016,22,20,27,18,77,11,9,26,0,1017,0,0,pioggia temporale ,1,0
Torino,7/24/2016,23,17,29,16,66,16,6,11,0,1017,0,0,,0,0
Torino,7/25/2016,26,19,31,16,56,20,6,11,0,1016,0,0,,0,0
Torino,7/26/2016,26,20,30,18,64,12,9,26,0,1017,0,0,temporale ,0,0
Torino,7/27/2016,24,20,29,18,70,11,9,28,0,1016,0,0,pioggia temporale ,1,0
Torino,7/28/2016,23,17,29,18,73,14,6,13,0,1016,0,0,,0,0
Torino,7/29/2016,25,20,29,18,66,11,6,11,0,1015,0,0,,0,0
Torino,7/30/2016,26,21,30,19,67,13,6,11,0,1015,0,0,,0,0
Torino,7/31/2016,24,19,28,19,75,11,9,24,0,1014,0,0,pioggia temporale ,1,0
Torino,8/1/2016,24,18,29,17,69,10,7,13,0,1014,0,0,,0,0
Torino,8/2/2016,24,21,27,17,64,12,8,13,0,1018,0,0,,0,0
Torino,8/3/2016,25,18,29,19,69,13,7,11,0,1016,0,0,,0,0
Torino,8/4/2016,25,20,30,19,72,12,9,24,0,1014,0,0,pioggia temporale ,1,0
Torino,8/5/2016,22,19,25,17,74,13,8,24,0,1012,0,0,pioggia temporale ,1,0
Torino,8/6/2016,22,14,28,11,51,46,8,15,0,1020,0,0,,0,0
Torino,8/7/2016,23,17,28,12,51,28,7,15,0,1024,0,0,,0,0
Torino,8/8/2016,23,17,30,15,59,26,7,13,0,1021,0,0,,0,0
Torino,8/9/2016,23,17,29,16,65,13,6,13,0,1015,0,0,,0,0
Torino,8/10/2016,22,18,27,14,60,14,8,15,0,1013,0,0,temporale ,0,0
Torino,8/11/2016,20,14,25,9,48,18,8,13,0,1020,0,0,,0,0
Torino,8/12/2016,20,13,27,11,55,37,7,11,0,1024,0,0,,0,0
Torino,8/13/2016,22,15,28,14,62,13,7,11,0,1025,0,0,,0,0
Torino,8/14/2016,24,17,30,16,64,17,6,13,0,1022,0,0,pioggia ,1,0
Torino,8/15/2016,25,18,30,17,64,12,7,15,0,1019,0,0,,0,0
Torino,8/16/2016,24,20,30,17,66,14,8,28,0,1016,0,0,pioggia temporale ,1,0
Torino,8/17/2016,23,15,31,14,58,16,7,13,0,1011,0,0,temporale ,0,0
Torino,8/18/2016,23,18,27,17,69,12,6,11,0,1011,0,0,,0,0
Torino,8/19/2016,23,20,28,18,73,10,7,11,0,1012,0,0,,0,0
Torino,8/20/2016,23,21,24,20,85,8,6,9,0,1016,0,0,pioggia ,1,0
Torino,8/21/2016,24,20,29,17,68,10,7,13,0,1016,0,0,,0,0
Torino,8/22/2016,22,15,28,10,46,39,8,15,0,1023,0,0,,0,0
Torino,8/23/2016,22,15,29,13,56,38,7,15,0,1024,0,0,,0,0
Torino,8/24/2016,24,17,30,15,59,40,8,13,0,1023,0,0,,0,0
Torino,8/25/2016,25,19,31,16,60,18,8,15,0,1021,0,0,,0,0
Torino,8/26/2016,25,22,30,16,58,13,8,17,0,1020,0,0,,0,0
Torino,8/27/2016,26,21,31,17,60,13,7,15,0,1021,0,0,,0,0
Torino,8/28/2016,25,19,32,16,60,27,6,13,0,1019,0,0,,0,0
Torino,8/29/2016,25,19,31,18,66,13,7,26,0,1016,0,0,pioggia temporale ,1,0
Torino,8/30/2016,22,19,27,17,73,13,10,28,0,1020,0,0,pioggia temporale ,1,0
Torino,8/31/2016,23,18,28,17,68,10,7,19,0,1021,0,0,pioggia ,1,0
Torino,9/1/2016,24,18,30,17,64,17,6,13,0,1020,0,0,,0,0
Torino,9/2/2016,24,19,30,18,66,13,6,11,0,1020,0,0,,0,0
Torino,9/3/2016,25,20,30,18,66,12,5,13,0,1019,0,0,,0,0
Torino,9/4/2016,24,20,29,19,70,13,5,9,0,1017,0,0,,0,0
Torino,9/5/2016,24,18,29,16,61,13,8,13,0,1014,0,0,,0,0
Torino,9/6/2016,23,17,28,13,52,23,9,24,0,1018,0,0,,0,0
Torino,9/7/2016,23,19,28,11,48,16,8,15,0,1021,0,0,,0,0
Torino,9/8/2016,23,17,28,13,56,23,6,9,0,1016,0,0,,0,0
Torino,9/9/2016,24,18,30,15,57,16,6,11,0,1016,0,0,,0,0
Torino,9/10/2016,24,18,31,14,57,15,6,13,0,1016,0,0,,0,0
Torino,9/11/2016,24,17,29,15,57,18,6,13,0,1017,0,0,temporale ,0,0
Torino,9/12/2016,24,19,28,16,60,12,6,15,0,1020,0,0,,0,0
Torino,9/13/2016,24,18,30,14,56,19,6,13,0,1017,0,0,temporale ,0,0
Torino,9/14/2016,23,17,29,14,59,11,8,30,0,1015,0,0,pioggia temporale ,1,0
Torino,9/15/2016,19,17,21,16,87,8,10,20,0,1015,0,0,pioggia ,1,0
Torino,9/16/2016,18,14,21,14,77,11,9,19,0,1015,0,0,pioggia ,1,0
Torino,9/17/2016,17,11,22,12,73,13,6,17,32,1011,0,0,pioggia ,1,0
Torino,9/18/2016,16,14,20,13,80,11,5,9,0,1011,0,0,pioggia ,1,0
Torino,9/19/2016,18,11,26,11,64,21,6,15,0,1011,0,0,,0,0
Torino,9/20/2016,20,14,25,10,56,15,6,15,0,1012,0,0,pioggia ,1,0
Torino,9/21/2016,17,15,20,13,75,12,9,20,0,1015,0,0,pioggia ,1,0
Torino,9/22/2016,17,12,22,13,73,11,7,11,0,1021,0,0,,0,0
Torino,9/23/2016,19,16,23,13,70,9,5,11,0,1024,0,0,pioggia ,1,0
Torino,9/24/2016,19,15,23,13,69,10,5,9,0,1026,0,0,,0,0
Torino,9/25/2016,18,11,25,11,65,20,5,13,0,1021,0,0,,0,0
Torino,9/26/2016,18,12,24,12,66,15,6,13,0,1020,0,0,,0,0
Torino,9/27/2016,18,15,23,13,69,9,6,17,0,1024,0,0,,0,0
Torino,9/28/2016,18,12,25,11,62,18,5,11,0,1029,0,0,,0,0
Torino,9/29/2016,19,13,24,13,69,10,4,9,0,1026,0,0,,0,0
Torino,9/30/2016,19,16,24,15,75,9,5,9,0,1020,0,0,,0,0
Torino,10/1/2016,17,14,19,14,81,11,4,9,0,1016,0,0,pioggia ,1,0
Torino,10/2/2016,18,13,23,13,74,9,5,13,0,1014,0,0,,0,0
Torino,10/3/2016,17,10,24,7,53,25,6,13,0,1019,0,0,,0,0
Torino,10/4/2016,16,11,22,8,62,18,7,11,0,1022,0,0,,0,0
Torino,10/5/2016,15,8,21,8,62,15,8,24,0,1018,0,0,,0,0
Torino,10/6/2016,12,10,14,7,70,11,8,19,0,1016,0,0,,0,0
Torino,10/7/2016,14,9,19,7,66,14,5,9,26,1014,0,0,,0,0
Torino,10/8/2016,14,10,17,8,67,10,6,11,0,1016,0,0,,0,0
Torino,10/9/2016,11,10,12,9,86,7,7,15,0,1019,0,0,pioggia ,1,0
Torino,10/10/2016,11,6,15,6,73,11,6,11,0,1018,0,0,,0,0
Torino,10/11/2016,9,6,13,6,81,9,6,13,0,1014,0,0,pioggia ,1,0
Torino,10/12/2016,9,2,15,3,68,17,5,9,0,1014,0,0,,0,0
Torino,10/13/2016,8,7,10,6,85,9,10,17,0,1018,0,0,pioggia ,1,0
Torino,10/14/2016,9,7,12,8,93,7,6,11,0,1014,0,0,pioggia temporale nebbia ,1,1
Torino,10/15/2016,12,9,16,11,91,7,5,11,0,1015,0,0,pioggia nebbia ,1,1
Torino,10/16/2016,12,6,19,10,84,6,4,7,0,1022,0,0,nebbia ,0,1
Torino,10/17/2016,13,10,17,10,81,11,4,7,0,1024,0,0,,0,0
Torino,10/18/2016,14,9,20,10,79,10,5,9,0,1021,0,0,,0,0
Torino,10/19/2016,13,10,16,11,87,6,6,9,0,1017,0,0,nebbia ,0,1
Torino,10/20/2016,12,7,17,9,81,4,6,15,0,1012,0,0,nebbia ,0,1
Torino,10/21/2016,12,7,16,8,78,6,5,9,0,1013,0,0,,0,0
Torino,10/22/2016,10,6,13,6,80,8,5,9,0,1015,0,0,,0,0
Torino,10/23/2016,10,10,11,9,90,4,4,7,0,1019,0,0,pioggia ,1,0
Torino,10/24/2016,12,10,14,10,86,5,4,7,0,1023,0,0,,0,0
Torino,10/25/2016,13,11,16,11,88,4,4,7,0,1023,0,0,pioggia ,1,0
Torino,10/26/2016,12,8,15,11,97,2,5,11,0,1022,0,0,pioggia nebbia ,1,1
Torino,10/27/2016,14,8,19,11,81,12,6,11,0,1027,0,0,nebbia ,0,1
Torino,10/28/2016,14,10,17,10,80,10,5,11,0,1031,0,0,,0,0
Torino,10/29/2016,12,7,18,8,78,7,4,9,0,1027,0,0,,0,0
Torino,10/30/2016,12,6,19,8,76,6,5,11,0,1024,0,0,,0,0
Torino,10/31/2016,10,6,14,8,89,2,6,11,0,1027,0,0,nebbia ,0,1
Torino,11/1/2016,11,9,14,9,90,2,5,11,0,1024,0,0,nebbia ,0,1
Torino,11/2/2016,12,9,15,9,81,4,4,7,0,1016,0,0,pioggia ,1,0
Torino,11/3/2016,10,4,17,7,80,6,6,15,0,1016,0,0,,0,0
Torino,11/4/2016,11,10,12,8,86,7,5,9,0,1020,0,0,,0,0
Torino,11/5/2016,10,8,11,7,86,7,4,9,0,1009,0,0,pioggia ,1,0
Torino,11/6/2016,9,6,14,7,81,9,5,11,0,997,0,0,nebbia ,0,1
Torino,11/7/2016,7,1,13,2,53,29,8,17,0,1003,0,0,,0,0
